session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes,duration_s,expected_frames,track_frames,pose_frames,tracking_presence_rate,pose_presence_rate,NO_POINTS_rate,LOW_POINTS_rate,OK_rate,gap_count_gt_1s,tid_switch_count,range_jump_count,ui_visible_rate,render_confirmed,segment_quality
session_20260704_150636,upright_3m,left_person,SITTING,SITTING_UPRIGHT,3.0,LEFT,143.566,205.348,MEDIUM,2,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.541; mean_x_right=0.805; separation=2.346,61.782,1123,11,11,0.0098,0.0098,0.2727,1.0,0.0,0,0,0,0.0,False,LOW
session_20260704_150636,upright_3m,right_person,SITTING,SITTING_UPRIGHT,3.0,RIGHT,143.566,205.348,MEDIUM,0,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.541; mean_x_right=0.805; separation=2.346,61.782,1123,1123,1123,1.0,1.0,0.7898,0.9653,0.0321,0,0,0,0.0,False,MEDIUM
session_20260704_150636,upright_4m,left_person,SITTING,SITTING_UPRIGHT,4.0,LEFT,211.348,273.131,MEDIUM,0,LOW,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; two-person assignment has fewer than two tids; dominant_tid_ratio=1.000; tid_counts={0: 1122},61.783,1124,1122,1122,0.9982,0.9982,0.8512,0.9893,0.008,0,0,0,0.0,False,LOW
session_20260704_150636,upright_4m,right_person,SITTING,SITTING_UPRIGHT,4.0,RIGHT,211.348,273.131,MEDIUM,,LOW,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; two-person assignment has fewer than two tids,61.783,1124,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,False,LOW
session_20260704_150636,upright_5m,left_person,SITTING,SITTING_UPRIGHT,5.0,LEFT,279.131,340.914,MEDIUM,3,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.197; mean_x_right=0.793; separation=1.991,61.783,1124,105,105,0.0934,0.0934,0.0952,0.1429,0.7905,0,1,0,0.0,False,LOW
session_20260704_150636,upright_5m,right_person,SITTING,SITTING_UPRIGHT,5.0,RIGHT,279.131,340.914,MEDIUM,0,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.197; mean_x_right=0.793; separation=1.991,61.783,1124,713,713,0.6343,0.6343,0.6985,0.8724,0.0842,0,1,0,0.0,False,MEDIUM
session_20260704_150636,leanforward_1m,left_person,SITTING,SITTING_LEAN_FORWARD,1.0,LEFT,346.914,408.697,MEDIUM,8,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.366; mean_x_right=1.178; separation=2.544,61.783,1124,612,612,0.5445,0.5445,0.8382,0.8824,0.1046,0,1,2,0.0,False,MEDIUM
session_20260704_150636,leanforward_1m,right_person,SITTING,SITTING_LEAN_FORWARD,1.0,RIGHT,346.914,408.697,MEDIUM,7,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.366; mean_x_right=1.178; separation=2.544,61.783,1124,624,624,0.5552,0.5552,0.8558,0.9167,0.0721,0,1,0,0.0,False,MEDIUM
session_20260704_150636,leanforward_2m,left_person,SITTING,SITTING_LEAN_FORWARD,2.0,LEFT,414.697,476.480,MEDIUM,8,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.307; mean_x_right=0.999; separation=2.306,61.783,1122,1123,1123,1.0009,1.0009,0.8353,0.9323,0.0597,0,1,0,0.0,False,MEDIUM
session_20260704_150636,leanforward_2m,right_person,SITTING,SITTING_LEAN_FORWARD,2.0,RIGHT,414.697,476.480,MEDIUM,7,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.307; mean_x_right=0.999; separation=2.306,61.783,1122,1123,1123,1.0009,1.0009,0.8664,0.9564,0.0419,0,1,0,0.0,False,MEDIUM
session_20260704_150636,leanforward_3m,left_person,SITTING,SITTING_LEAN_FORWARD,3.0,LEFT,482.480,544.262,MEDIUM,8,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.435; mean_x_right=0.891; separation=2.327,61.782,1122,233,233,0.2077,0.2077,1.0,1.0,0.0,0,1,0,0.0,False,LOW
session_20260704_150636,leanforward_3m,right_person,SITTING,SITTING_LEAN_FORWARD,3.0,RIGHT,482.480,544.262,MEDIUM,7,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.435; mean_x_right=0.891; separation=2.327,61.782,1122,1114,1114,0.9929,0.9929,0.9758,1.0,0.0,0,1,0,0.0,False,MEDIUM
session_20260704_150636,leanforward_4m,left_person,SITTING,SITTING_LEAN_FORWARD,4.0,LEFT,550.262,612.045,MEDIUM,9,LOW,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; two-person assignment has fewer than two tids; dominant_tid_ratio=1.000; tid_counts={9: 1003},61.783,1124,1003,1003,0.8923,0.8923,0.8534,0.987,0.011,0,0,0,0.0,False,LOW
session_20260704_150636,leanforward_4m,right_person,SITTING,SITTING_LEAN_FORWARD,4.0,RIGHT,550.262,612.045,MEDIUM,,LOW,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; two-person assignment has fewer than two tids,61.783,1124,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,False,LOW
session_20260704_150636,leanforward_5m,left_person,SITTING,SITTING_LEAN_FORWARD,5.0,LEFT,618.045,679.828,MEDIUM,9,LOW,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; two-person assignment has fewer than two tids; dominant_tid_ratio=1.000; tid_counts={9: 1124},61.783,1123,1124,1124,1.0009,1.0009,0.8319,0.9778,0.0214,0,0,0,0.0,False,LOW
session_20260704_150636,leanforward_5m,right_person,SITTING,SITTING_LEAN_FORWARD,5.0,RIGHT,618.045,679.828,MEDIUM,,LOW,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; two-person assignment has fewer than two tids,61.783,1123,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,False,LOW
session_20260704_152302,standing_1m,center,STANDING,STANDING,1.0,CENTER,8.000,76.297,MEDIUM,0,HIGH,"single person center/front; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.997; tid_counts={0: 1242, 1: 4}",68.297,1242,1242,1242,1.0,1.0,0.157,0.7874,0.1337,0,0,0,0.0,False,MEDIUM
session_20260704_152302,standing_2m,center,STANDING,STANDING,2.0,CENTER,82.297,150.594,MEDIUM,0,HIGH,single person center/front; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1239},68.297,1239,1239,1239,1.0,1.0,0.3245,0.8709,0.0993,0,0,0,0.0,False,MEDIUM
session_20260704_152302,standing_3m,center,STANDING,STANDING,3.0,CENTER,156.594,224.891,MEDIUM,0,HIGH,single person center/front; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1240},68.297,1241,1240,1240,0.9992,0.9992,0.6871,0.9798,0.0194,0,0,0,0.0,False,MEDIUM
session_20260704_152302,standing_4m,center,STANDING,STANDING,4.0,CENTER,230.891,299.187,MEDIUM,0,HIGH,single person center/front; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1241},68.296,1242,1241,1241,0.9992,0.9992,0.8163,0.9863,0.0137,0,0,0,0.0,False,MEDIUM
session_20260704_152302,standing_5m,center,STANDING,STANDING,5.0,CENTER,305.187,373.484,MEDIUM,0,HIGH,single person center/front; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 817},68.297,1242,817,817,0.6578,0.6578,0.9927,1.0,0.0,0,0,0,0.0,False,MEDIUM
session_20260704_152302,leanback_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,379.484,447.781,MEDIUM,2,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1241},68.297,1240,1241,1241,1.0008,1.0008,0.4907,0.8904,0.0967,0,0,0,0.0,False,MEDIUM
session_20260704_152302,leanback_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,453.781,522.078,MEDIUM,2,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1242},68.297,1242,1242,1242,1.0,1.0,0.7424,0.8897,0.1014,0,0,0,0.0,False,MEDIUM
session_20260704_152302,leanback_3m,center,SITTING,SITTING_LEAN_BACK,3.0,CENTER,528.078,596.375,MEDIUM,2,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1242},68.297,1240,1242,1242,1.0016,1.0016,0.8655,0.9251,0.0733,0,0,0,0.0,False,MEDIUM
session_20260704_152302,leanback_4m,center,SITTING,SITTING_LEAN_BACK,4.0,CENTER,602.375,670.672,MEDIUM,2,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 823},68.297,1242,823,823,0.6626,0.6626,0.8591,0.9332,0.0632,0,0,0,0.0,False,MEDIUM
session_20260704_152302,leanback_5m,center,SITTING,SITTING_LEAN_BACK,5.0,CENTER,676.672,744.968,MEDIUM,3,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={3: 648},68.296,1241,648,648,0.5222,0.5222,0.9383,0.9907,0.0,0,0,0,0.0,False,MEDIUM
session_20260704_152302,upright_1m,center,SITTING,SITTING_UPRIGHT,1.0,CENTER,750.968,819.265,MEDIUM,4,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 771},68.297,1241,771,771,0.6213,0.6213,0.4617,0.6978,0.2789,0,0,0,0.0,False,MEDIUM
session_20260704_152302,upright_2m,center,SITTING,SITTING_UPRIGHT,2.0,CENTER,825.265,893.562,MEDIUM,4,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 1242},68.297,1242,1242,1242,1.0,1.0,0.7576,0.8905,0.1014,0,0,0,0.0,False,MEDIUM
session_20260704_152302,upright_3m,center,SITTING,SITTING_UPRIGHT,3.0,CENTER,899.562,967.859,MEDIUM,4,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 1242},68.297,1243,1242,1242,0.9992,0.9992,0.5902,0.913,0.0805,0,0,0,0.0,False,MEDIUM
session_20260704_152302,upright_4m,center,SITTING,SITTING_UPRIGHT,4.0,CENTER,973.859,1042.156,MEDIUM,4,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 1242},68.297,1242,1242,1242,1.0,1.0,0.8744,0.9662,0.0314,0,0,0,0.0,False,MEDIUM
session_20260704_152302,upright_5m,center,SITTING,SITTING_UPRIGHT,5.0,CENTER,1048.156,1116.453,MEDIUM,4,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 1241},68.297,1242,1241,1241,0.9992,0.9992,0.9162,0.9879,0.0105,0,0,0,0.0,False,MEDIUM
session_20260704_152302,leanforward_1m,center,SITTING,SITTING_LEAN_FORWARD,1.0,CENTER,1122.453,1190.750,MEDIUM,4,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 68},68.297,1242,68,68,0.0548,0.0548,1.0,1.0,0.0,0,0,0,0.0,False,LOW
session_20260704_152302,leanforward_2m,center,SITTING,SITTING_LEAN_FORWARD,2.0,CENTER,1196.750,1265.046,MEDIUM,5,HIGH,"single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.967; tid_counts={5: 208, 6: 7}",68.296,1241,208,208,0.1676,0.1676,0.2596,0.4904,0.2452,0,0,0,0.0,False,LOW
session_20260704_152302,leanforward_3m,center,SITTING,SITTING_LEAN_FORWARD,3.0,CENTER,1271.046,1339.343,MEDIUM,7,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={7: 1110},68.297,1243,1110,1110,0.893,0.893,0.6694,0.9135,0.0793,0,0,0,0.0,False,MEDIUM
session_20260704_152302,leanforward_4m,center,SITTING,SITTING_LEAN_FORWARD,4.0,CENTER,1345.343,1413.640,MEDIUM,7,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={7: 1239},68.297,1239,1239,1239,1.0,1.0,0.7732,0.9314,0.0686,0,0,0,0.0,False,MEDIUM
session_20260704_152302,leanforward_5m,center,SITTING,SITTING_LEAN_FORWARD,5.0,CENTER,1419.640,1487.937,MEDIUM,7,HIGH,single person center/front sitting subtype; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={7: 1242},68.297,1241,1242,1242,1.0008,1.0008,0.8736,0.9726,0.0258,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_center_1m,center,STANDING,STANDING,1.0,CENTER,8.000,69.183,MEDIUM,0,HIGH,standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1113},61.183,1117,1113,1113,0.9964,0.9964,0.3064,0.8643,0.0836,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_center_2m,center,STANDING,STANDING,2.0,CENTER,75.183,136.367,MEDIUM,0,HIGH,standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1112},61.184,1111,1112,1112,1.0009,1.0009,0.5288,0.8678,0.116,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_center_3m,center,STANDING,STANDING,3.0,CENTER,142.367,203.550,MEDIUM,0,HIGH,standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1113},61.183,1112,1113,1113,1.0009,1.0009,0.8464,0.9829,0.0153,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_center_4m,center,STANDING,STANDING,4.0,CENTER,209.550,270.733,MEDIUM,0,HIGH,standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1112},61.183,1112,1112,1112,1.0,1.0,0.8849,0.9928,0.0072,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_center_5m,center,STANDING,STANDING,5.0,CENTER,276.733,337.917,MEDIUM,1,MEDIUM,"standing center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.513; tid_counts={0: 492, 1: 519}",61.184,1113,519,519,0.4663,0.4663,0.7688,0.9538,0.0135,0,1,0,0.0,False,MEDIUM
session_20260706_173741,standing_right_1m,right,STANDING,STANDING,1.0,RIGHT,343.917,405.100,MEDIUM,2,MEDIUM,"standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.725; tid_counts={1: 410, 2: 1080}",61.183,1084,1080,1080,0.9963,0.9963,0.7213,0.9685,0.0269,0,1,0,0.0,False,MEDIUM
session_20260706_173741,standing_right_2m,right,STANDING,STANDING,2.0,RIGHT,411.100,472.283,MEDIUM,2,HIGH,standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1146},61.183,1143,1146,1146,1.0026,1.0026,0.6815,0.8997,0.0716,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_right_3m,right,STANDING,STANDING,3.0,RIGHT,478.283,539.467,MEDIUM,2,HIGH,standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1113},61.184,1112,1113,1113,1.0009,1.0009,0.7206,0.9335,0.0404,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_right_4m,right,STANDING,STANDING,4.0,RIGHT,545.467,606.650,MEDIUM,2,HIGH,standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1112},61.183,1113,1112,1112,0.9991,0.9991,0.8759,0.9928,0.0045,1,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_right_5m,right,STANDING,STANDING,5.0,RIGHT,612.650,673.833,MEDIUM,2,HIGH,standing right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1112},61.183,1112,1112,1112,1.0,1.0,0.8651,0.9487,0.0396,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_left_1m,left,STANDING,STANDING,1.0,LEFT,679.833,741.017,MEDIUM,2,HIGH,standing left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1114},61.184,1113,1114,1114,1.0009,1.0009,0.6409,0.7406,0.2083,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_left_2m,left,STANDING,STANDING,2.0,LEFT,747.017,808.200,MEDIUM,2,HIGH,standing left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1112},61.183,1111,1112,1112,1.0009,1.0009,0.5926,0.8534,0.0791,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_left_3m,left,STANDING,STANDING,3.0,LEFT,814.200,875.383,MEDIUM,2,HIGH,standing left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1113},61.183,1113,1113,1113,1.0,1.0,0.5723,0.9272,0.0485,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_left_4m,left,STANDING,STANDING,4.0,LEFT,881.383,942.567,MEDIUM,2,HIGH,standing left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1113},61.184,1112,1113,1113,1.0009,1.0009,0.637,0.9802,0.0144,0,0,0,0.0,False,MEDIUM
session_20260706_173741,standing_left_5m,left,STANDING,STANDING,5.0,LEFT,948.567,1009.750,MEDIUM,2,HIGH,standing left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1113},61.183,1112,1113,1113,1.0009,1.0009,0.7493,0.991,0.009,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_center_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,8.000,72.316,MEDIUM,0,HIGH,sitting lean-back center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1169},64.316,1171,1169,1169,0.9983,0.9983,0.6912,0.9187,0.0796,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_center_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,78.316,142.631,MEDIUM,0,HIGH,sitting lean-back center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1169},64.315,1169,1169,1169,1.0,1.0,0.8144,0.9598,0.0393,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_center_3m,center,SITTING,SITTING_LEAN_BACK,3.0,CENTER,148.631,212.947,MEDIUM,0,HIGH,sitting lean-back center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1169},64.316,1170,1169,1169,0.9991,0.9991,0.8443,0.9649,0.0325,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_center_4m,center,SITTING,SITTING_LEAN_BACK,4.0,CENTER,218.947,283.263,MEDIUM,0,HIGH,sitting lean-back center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 1169},64.316,1169,1169,1169,1.0,1.0,0.7784,0.9615,0.0334,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_center_5m,center,SITTING,SITTING_LEAN_BACK,5.0,CENTER,289.263,353.578,MEDIUM,0,HIGH,sitting lean-back center side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={0: 868},64.315,1170,868,868,0.7419,0.7419,0.8767,0.9931,0.0,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_right_1m,right,SITTING,SITTING_LEAN_BACK,1.0,RIGHT,359.578,423.894,MEDIUM,2,HIGH,"sitting lean-back right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.984; tid_counts={1: 12, 2: 718}",64.316,1169,718,718,0.6142,0.6142,0.5794,0.8412,0.0947,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_right_2m,right,SITTING,SITTING_LEAN_BACK,2.0,RIGHT,429.894,494.210,MEDIUM,2,HIGH,sitting lean-back right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1171},64.316,1164,1171,1171,1.006,1.006,0.8506,0.9257,0.0743,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_right_3m,right,SITTING,SITTING_LEAN_BACK,3.0,RIGHT,500.210,564.525,MEDIUM,2,HIGH,sitting lean-back right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={2: 1169},64.315,1176,1169,1169,0.994,0.994,0.8914,0.9495,0.0385,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_right_4m,right,SITTING,SITTING_LEAN_BACK,4.0,RIGHT,570.525,634.841,MEDIUM,3,HIGH,"sitting lean-back right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.964; tid_counts={2: 26, 3: 706}",64.316,1170,706,706,0.6034,0.6034,0.8074,0.9476,0.0326,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_right_5m,right,SITTING,SITTING_LEAN_BACK,5.0,RIGHT,640.841,705.157,MEDIUM,3,HIGH,sitting lean-back right side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={3: 1170},64.316,1170,1170,1170,1.0,1.0,0.9299,0.9957,0.0043,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_left_1m,left,SITTING,SITTING_LEAN_BACK,1.0,LEFT,711.157,775.472,MEDIUM,4,HIGH,"sitting lean-back left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.831; tid_counts={3: 130, 4: 638}",64.315,1169,638,638,0.5458,0.5458,0.6865,0.7461,0.2351,0,1,0,0.0,False,MEDIUM
session_20260706_175519,leanback_left_2m,left,SITTING,SITTING_LEAN_BACK,2.0,LEFT,781.472,845.788,MEDIUM,4,HIGH,sitting lean-back left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 1169},64.316,1169,1169,1169,1.0,1.0,0.7553,0.8982,0.0975,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_left_3m,left,SITTING,SITTING_LEAN_BACK,3.0,LEFT,851.788,916.104,MEDIUM,4,HIGH,sitting lean-back left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=1.000; tid_counts={4: 1169},64.316,1170,1169,1169,0.9991,0.9991,0.8648,0.9589,0.0385,0,0,0,0.0,False,MEDIUM
session_20260706_175519,leanback_left_4m,left,SITTING,SITTING_LEAN_BACK,4.0,LEFT,922.104,986.419,MEDIUM,6,HIGH,"sitting lean-back left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.786; tid_counts={4: 182, 5: 8, 6: 698}",64.315,1168,698,698,0.5976,0.5976,0.8682,0.9542,0.0272,0,1,0,0.0,False,MEDIUM
session_20260706_175519,leanback_left_5m,left,SITTING,SITTING_LEAN_BACK,5.0,LEFT,992.419,1056.735,MEDIUM,7,MEDIUM,"sitting lean-back left side; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; dominant_tid_ratio=0.745; tid_counts={6: 148, 7: 433}",64.316,1170,433,433,0.3701,0.3701,0.836,0.9561,0.03,0,1,0,0.0,False,MEDIUM
