session_id,segment_id,person_slot,expected_pose,expected_subpose,expected_distance_m,expected_position,start_time_s,end_time_s,label_confidence,assigned_tid,assignment_confidence,notes,assignment_note,segment_track_rows
session_20260703_205540,standing_1m,center,STANDING,STANDING,1.0,CENTER,4.000,50.500,HIGH,0,HIGH,standing center/front; legacy_segment_time; standing first block; auto range plateau tol=0.35m samples=863; dominant_tid_ratio=1.000; tid_counts={0: 844},dominant_tid_ratio=1.000; tid_counts={0: 844},844
session_20260703_205540,standing_2m,center,STANDING,STANDING,2.0,CENTER,60.516,103.954,HIGH,0,HIGH,standing center/front; legacy_segment_time; standing first block; auto range plateau tol=0.35m samples=812; dominant_tid_ratio=1.000; tid_counts={0: 790},dominant_tid_ratio=1.000; tid_counts={0: 790},790
session_20260703_205540,standing_3m,center,STANDING,STANDING,3.0,CENTER,113.969,157.641,HIGH,0,HIGH,standing center/front; legacy_segment_time; standing first block; auto range plateau tol=0.35m samples=803; dominant_tid_ratio=1.000; tid_counts={0: 793},dominant_tid_ratio=1.000; tid_counts={0: 793},793
session_20260703_205540,standing_4m,center,STANDING,STANDING,4.0,CENTER,167.688,208.032,HIGH,0,HIGH,standing center/front; legacy_segment_time; standing first block; auto range plateau tol=0.35m samples=719; dominant_tid_ratio=1.000; tid_counts={0: 739},dominant_tid_ratio=1.000; tid_counts={0: 739},739
session_20260703_205540,leanback_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,228.625,290.922,HIGH,3,HIGH,sitting was leaned back; legacy_segment_time; sitting was leaned back; auto range plateau tol=0.35m samples=1096; dominant_tid_ratio=1.000; tid_counts={3: 1130},dominant_tid_ratio=1.000; tid_counts={3: 1130},1130
session_20260703_205540,leanback_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,300.954,323.641,LOW,3,HIGH,sitting was leaned back; legacy_segment_time; sitting was leaned back; auto range plateau tol=0.35m samples=504; dominant_tid_ratio=1.000; tid_counts={3: 416},dominant_tid_ratio=1.000; tid_counts={3: 416},416
session_20260703_205540,leanback_3m,center,SITTING,SITTING_LEAN_BACK,3.0,CENTER,389.313,414.329,LOW,6,HIGH,sitting was leaned back; legacy_segment_time; sitting was leaned back; auto range plateau tol=0.35m samples=522; dominant_tid_ratio=1.000; tid_counts={6: 454},dominant_tid_ratio=1.000; tid_counts={6: 454},454
session_20260703_205540,leanback_4m,center,SITTING,SITTING_LEAN_BACK,4.0,CENTER,474.907,506.735,MEDIUM,7,HIGH,sitting was leaned back; legacy_segment_time; sitting was leaned back; auto range plateau tol=0.35m samples=602; dominant_tid_ratio=1.000; tid_counts={7: 556},dominant_tid_ratio=1.000; tid_counts={7: 556},556
sitting_ab_default_cfg,leanback_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,4.000,77.719,HIGH,0,HIGH,corrected protocol includes 1m; legacy_segment_time; corrected protocol includes 1m; auto range plateau tol=0.35m samples=1447; dominant_tid_ratio=1.000; tid_counts={0: 1341},dominant_tid_ratio=1.000; tid_counts={0: 1341},1341
sitting_ab_default_cfg,leanback_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,87.734,158.234,HIGH,0,HIGH,corrected protocol includes 1m; legacy_segment_time; sitting leaned back; auto range plateau tol=0.35m samples=1397; dominant_tid_ratio=1.000; tid_counts={0: 1282},dominant_tid_ratio=1.000; tid_counts={0: 1282},1282
sitting_ab_default_cfg,leanback_3m,center,SITTING,SITTING_LEAN_BACK,3.0,CENTER,167.578,182.328,LOW,0,HIGH,corrected protocol includes 1m; legacy_segment_time; sitting leaned back; auto range plateau tol=0.35m samples=300; dominant_tid_ratio=1.000; tid_counts={0: 268},dominant_tid_ratio=1.000; tid_counts={0: 268},268
sitting_ab_default_cfg,leanback_4m,center,SITTING,SITTING_LEAN_BACK,4.0,CENTER,257.172,279.890,LOW,0,HIGH,corrected protocol includes 1m; legacy_segment_time; sitting leaned back; auto range plateau tol=0.55m samples=557; dominant_tid_ratio=1.000; tid_counts={0: 413},dominant_tid_ratio=1.000; tid_counts={0: 413},413
sitting_ab_static_retention_cfg,leanback_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,10.047,82.219,HIGH,0,MEDIUM,"corrected protocol includes 1m; legacy_segment_time; corrected protocol includes 1m; auto range plateau tol=0.35m samples=1398; dominant_tid_ratio=0.745; tid_counts={0: 1315, 1: 450}","dominant_tid_ratio=0.745; tid_counts={0: 1315, 1: 450}",1765
sitting_ab_static_retention_cfg,leanback_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,92.750,206.469,HIGH,0,HIGH,corrected protocol includes 1m; legacy_segment_time; sitting leaned back; auto range plateau tol=0.35m samples=2195; dominant_tid_ratio=1.000; tid_counts={0: 2068},dominant_tid_ratio=1.000; tid_counts={0: 2068},2068
sitting_ab_static_retention_cfg,leanback_3m,center,SITTING,SITTING_LEAN_BACK,3.0,CENTER,216.500,345.516,HIGH,0,MEDIUM,"corrected protocol includes 1m; legacy_segment_time; sitting leaned back; auto range plateau tol=0.35m samples=2434; dominant_tid_ratio=0.500; tid_counts={0: 2346, 5: 2346}","dominant_tid_ratio=0.500; tid_counts={0: 2346, 5: 2346}",4692
sitting_ab_static_retention_cfg,leanback_4m,center,SITTING,SITTING_LEAN_BACK,4.0,CENTER,355.563,432.563,HIGH,0,MEDIUM,"corrected protocol includes 1m; legacy_segment_time; sitting leaned back; auto range plateau tol=0.35m samples=1532; dominant_tid_ratio=0.500; tid_counts={0: 1400, 5: 1400}","dominant_tid_ratio=0.500; tid_counts={0: 1400, 5: 1400}",2800
sitting_relative_gate_refined_live_test,standing_1m,center,STANDING,STANDING,1.0,CENTER,25.506,78.687,HIGH,1,HIGH,single person center/front; legacy_segment_time; auto range plateau; raw=21.51-82.69s; tol=0.35m; samples=1113; dominant_tid_ratio=1.000; tid_counts={1: 967},dominant_tid_ratio=1.000; tid_counts={1: 967},967
sitting_relative_gate_refined_live_test,standing_2m,center,STANDING,STANDING,2.0,CENTER,88.768,149.030,HIGH,1,HIGH,single person center/front; legacy_segment_time; auto range plateau; raw=84.77-153.03s; tol=0.35m; samples=1243; dominant_tid_ratio=1.000; tid_counts={1: 1096},dominant_tid_ratio=1.000; tid_counts={1: 1096},1096
sitting_relative_gate_refined_live_test,standing_3m,center,STANDING,STANDING,3.0,CENTER,168.960,231.854,HIGH,1,HIGH,single person center/front; legacy_segment_time; auto range plateau; raw=164.96-235.85s; tol=0.35m; samples=1289; dominant_tid_ratio=1.000; tid_counts={1: 1143},dominant_tid_ratio=1.000; tid_counts={1: 1143},1143
sitting_relative_gate_refined_live_test,standing_4m,center,STANDING,STANDING,4.0,CENTER,241.856,268.823,LOW,1,HIGH,single person center/front; legacy_segment_time; auto range plateau; raw=237.86-272.82s; tol=0.35m; samples=637; dominant_tid_ratio=1.000; tid_counts={1: 491},dominant_tid_ratio=1.000; tid_counts={1: 491},491
sitting_relative_gate_refined_live_test,standing_5m,center,STANDING,STANDING,5.0,CENTER,314.926,377.169,HIGH,2,HIGH,single person center/front; legacy_segment_time; auto range plateau; raw=310.93-381.17s; tol=0.35m; samples=1278; dominant_tid_ratio=1.000; tid_counts={2: 1132},dominant_tid_ratio=1.000; tid_counts={2: 1132},1132
sitting_relative_gate_refined_live_test,leanback_1m,center,SITTING,SITTING_LEAN_BACK,1.0,CENTER,406.980,435.014,LOW,4,HIGH,single person center/front sitting subtype; legacy_segment_time; auto range plateau; raw=406.98-435.01s; tol=0.35m; samples=502; dominant_tid_ratio=1.000; tid_counts={4: 509},dominant_tid_ratio=1.000; tid_counts={4: 509},509
sitting_relative_gate_refined_live_test,leanback_2m,center,SITTING,SITTING_LEAN_BACK,2.0,CENTER,471.363,497.291,LOW,4,HIGH,single person center/front sitting subtype; legacy_segment_time; auto range plateau; raw=467.36-501.29s; tol=0.55m; samples=618; dominant_tid_ratio=1.000; tid_counts={4: 471},dominant_tid_ratio=1.000; tid_counts={4: 471},471
sitting_relative_gate_refined_live_test,leanback_3m,center,SITTING,SITTING_LEAN_BACK,3.0,CENTER,555.618,584.079,LOW,6,HIGH,single person center/front sitting subtype; legacy_segment_time; auto range plateau; raw=551.62-588.08s; tol=0.35m; samples=664; dominant_tid_ratio=1.000; tid_counts={6: 518},dominant_tid_ratio=1.000; tid_counts={6: 518},518
sitting_relative_gate_refined_live_test,leanback_4m,center,SITTING,SITTING_LEAN_BACK,4.0,CENTER,637.990,674.837,MEDIUM,8,HIGH,single person center/front sitting subtype; legacy_segment_time; auto range plateau; raw=633.99-678.84s; tol=0.35m; samples=816; dominant_tid_ratio=1.000; tid_counts={8: 670},dominant_tid_ratio=1.000; tid_counts={8: 670},670
sitting_relative_gate_refined_live_test,leanback_5m,center,SITTING,SITTING_LEAN_BACK,5.0,CENTER,712.573,746.749,MEDIUM,9,HIGH,single person center/front sitting subtype; legacy_segment_time; auto range plateau; raw=708.57-750.75s; tol=0.35m; samples=767; dominant_tid_ratio=1.000; tid_counts={9: 620},dominant_tid_ratio=1.000; tid_counts={9: 620},620
sitting_relative_gate_refined_live_test,upright_1m,center,SITTING,SITTING_UPRIGHT,1.0,CENTER,789.929,855.717,HIGH,10,HIGH,single person center/front sitting subtype; legacy_segment_time; auto time-order fallback; range plateau not reliable; auto range plateau; raw=785.93-859.72s; tol=0.35m; samples=1342; dominant_tid_ratio=1.000; tid_counts={10: 1196},dominant_tid_ratio=1.000; tid_counts={10: 1196},1196
sitting_relative_gate_refined_live_test,upright_2m,center,SITTING,SITTING_UPRIGHT,2.0,CENTER,865.764,930.163,HIGH,10,HIGH,single person center/front sitting subtype; legacy_segment_time; auto time-order fallback; range plateau not reliable; auto range plateau; raw=861.76-934.16s; tol=0.35m; samples=1318; dominant_tid_ratio=1.000; tid_counts={10: 1171},dominant_tid_ratio=1.000; tid_counts={10: 1171},1171
sitting_relative_gate_refined_live_test,upright_3m,center,SITTING,SITTING_UPRIGHT,3.0,CENTER,940.195,1004.283,HIGH,10,HIGH,single person center/front sitting subtype; legacy_segment_time; auto time-order fallback; range plateau not reliable; auto range plateau; raw=936.20-1008.28s; tol=0.35m; samples=1312; dominant_tid_ratio=1.000; tid_counts={10: 1166},dominant_tid_ratio=1.000; tid_counts={10: 1166},1166
sitting_relative_gate_refined_live_test,upright_4m,center,SITTING,SITTING_UPRIGHT,4.0,CENTER,1016.474,1042.685,LOW,10,HIGH,single person center/front sitting subtype; legacy_segment_time; auto time-order fallback; range plateau not reliable; auto range plateau; raw=1012.47-1046.68s; tol=0.35m; samples=623; dominant_tid_ratio=1.000; tid_counts={10: 476},dominant_tid_ratio=1.000; tid_counts={10: 476},476
sitting_relative_gate_refined_live_test,upright_5m,center,SITTING,SITTING_UPRIGHT,5.0,CENTER,1155.993,1205.993,LOW,11,HIGH,single person center/front sitting subtype; legacy_segment_time; auto time-order fallback; range plateau not reliable; auto time-order fallback; range plateau not reliable; dominant_tid_ratio=1.000; tid_counts={11: 909},dominant_tid_ratio=1.000; tid_counts={11: 909},909
sitting_relative_gate_refined_live_test,leanforward_1m,center,SITTING,SITTING_LEAN_FORWARD,1.0,CENTER,1207.996,1234.170,LOW,11,HIGH,single person center/front sitting subtype; legacy_segment_time; auto time-order fallback; range plateau not reliable; auto range plateau; raw=1208.00-1234.17s; tol=0.35m; samples=475; dominant_tid_ratio=1.000; tid_counts={11: 475},dominant_tid_ratio=1.000; tid_counts={11: 475},475
sitting_relative_gate_refined_live_test,leanforward_2m,center,SITTING,SITTING_LEAN_FORWARD,2.0,CENTER,1240.200,1278.767,MEDIUM,11,HIGH,single person center/front sitting subtype; legacy_segment_time; auto time-order fallback; range plateau not reliable; auto range plateau; raw=1236.20-1282.77s; tol=0.35m; samples=847; dominant_tid_ratio=1.000; tid_counts={11: 701},dominant_tid_ratio=1.000; tid_counts={11: 701},701
sitting_relative_gate_refined_live_test,leanforward_3m,center,SITTING,SITTING_LEAN_FORWARD,3.0,CENTER,1318.334,1364.520,HIGH,12,HIGH,single person center/front sitting subtype; legacy_segment_time; auto time-order fallback; range plateau not reliable; auto range plateau; raw=1314.33-1368.52s; tol=0.35m; samples=986; dominant_tid_ratio=1.000; tid_counts={12: 839},dominant_tid_ratio=1.000; tid_counts={12: 839},839
sitting_relative_gate_refined_live_test,leanforward_4m,center,SITTING,SITTING_LEAN_FORWARD,4.0,CENTER,1403.470,1432.177,LOW,13,HIGH,single person center/front sitting subtype; legacy_segment_time; auto time-order fallback; range plateau not reliable; auto range plateau; raw=1403.47-1432.18s; tol=0.35m; samples=523; dominant_tid_ratio=1.000; tid_counts={13: 522},dominant_tid_ratio=1.000; tid_counts={13: 522},522
sitting_relative_gate_refined_live_test,leanforward_5m,center,SITTING,SITTING_LEAN_FORWARD,5.0,CENTER,1480.633,1504.587,LOW,14,HIGH,single person center/front sitting subtype; legacy_segment_time; auto time-order fallback; range plateau not reliable; auto range plateau; raw=1476.63-1508.59s; tol=0.35m; samples=582; dominant_tid_ratio=1.000; tid_counts={14: 436},dominant_tid_ratio=1.000; tid_counts={14: 436},436
session_20260704_145249,standing_1m,left_person,STANDING,STANDING,1.0,LEFT,8.000,77.352,MEDIUM,0,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.169; mean_x_right=0.957; separation=2.126,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.169; mean_x_right=0.957; separation=2.126,2515
session_20260704_145249,standing_1m,right_person,STANDING,STANDING,1.0,RIGHT,8.000,77.352,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.169; mean_x_right=0.957; separation=2.126,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.169; mean_x_right=0.957; separation=2.126,2515
session_20260704_145249,standing_2m,left_person,STANDING,STANDING,2.0,LEFT,83.352,152.703,MEDIUM,2,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.301; mean_x_right=0.965; separation=2.266,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.301; mean_x_right=0.965; separation=2.266,2522
session_20260704_145249,standing_2m,right_person,STANDING,STANDING,2.0,RIGHT,83.352,152.703,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.301; mean_x_right=0.965; separation=2.266,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.301; mean_x_right=0.965; separation=2.266,2522
session_20260704_145249,standing_3m,left_person,STANDING,STANDING,3.0,LEFT,158.703,228.055,MEDIUM,2,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.510; mean_x_right=0.848; separation=2.358,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.510; mean_x_right=0.848; separation=2.358,2520
session_20260704_145249,standing_3m,right_person,STANDING,STANDING,3.0,RIGHT,158.703,228.055,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.510; mean_x_right=0.848; separation=2.358,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.510; mean_x_right=0.848; separation=2.358,2520
session_20260704_145249,standing_4m,left_person,STANDING,STANDING,4.0,LEFT,234.055,303.406,MEDIUM,2,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.652; mean_x_right=0.805; separation=2.457,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.652; mean_x_right=0.805; separation=2.457,1804
session_20260704_145249,standing_4m,right_person,STANDING,STANDING,4.0,RIGHT,234.055,303.406,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.652; mean_x_right=0.805; separation=2.457,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.652; mean_x_right=0.805; separation=2.457,1804
session_20260704_145249,standing_5m,left_person,STANDING,STANDING,5.0,LEFT,309.406,378.757,MEDIUM,4,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-0.956; mean_x_right=0.761; separation=1.717,left/right inferred from verified lateral ordering within this segment; mean_x_left=-0.956; mean_x_right=0.761; separation=1.717,1587
session_20260704_145249,standing_5m,right_person,STANDING,STANDING,5.0,RIGHT,309.406,378.757,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-0.956; mean_x_right=0.761; separation=1.717,left/right inferred from verified lateral ordering within this segment; mean_x_left=-0.956; mean_x_right=0.761; separation=1.717,1587
session_20260704_145249,leanback_1m,left_person,SITTING,SITTING_LEAN_BACK,1.0,LEFT,384.757,454.109,MEDIUM,4,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.350; mean_x_right=0.901; separation=2.251,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.350; mean_x_right=0.901; separation=2.251,2526
session_20260704_145249,leanback_1m,right_person,SITTING,SITTING_LEAN_BACK,1.0,RIGHT,384.757,454.109,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.350; mean_x_right=0.901; separation=2.251,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.350; mean_x_right=0.901; separation=2.251,2526
session_20260704_145249,leanback_2m,left_person,SITTING,SITTING_LEAN_BACK,2.0,LEFT,460.109,529.461,MEDIUM,4,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.274; mean_x_right=1.034; separation=2.308,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.274; mean_x_right=1.034; separation=2.308,2522
session_20260704_145249,leanback_2m,right_person,SITTING,SITTING_LEAN_BACK,2.0,RIGHT,460.109,529.461,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.274; mean_x_right=1.034; separation=2.308,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.274; mean_x_right=1.034; separation=2.308,2522
session_20260704_145249,leanback_3m,left_person,SITTING,SITTING_LEAN_BACK,3.0,LEFT,535.461,604.812,MEDIUM,5,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.415; mean_x_right=1.047; separation=2.462,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.415; mean_x_right=1.047; separation=2.462,2031
session_20260704_145249,leanback_3m,right_person,SITTING,SITTING_LEAN_BACK,3.0,RIGHT,535.461,604.812,MEDIUM,1,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.415; mean_x_right=1.047; separation=2.462,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.415; mean_x_right=1.047; separation=2.462,2031
session_20260704_145249,leanback_4m,left_person,SITTING,SITTING_LEAN_BACK,4.0,LEFT,610.812,680.163,MEDIUM,1,LOW,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; two-person assignment has fewer than two tids; dominant_tid_ratio=1.000; tid_counts={1: 1260},two-person assignment has fewer than two tids; dominant_tid_ratio=1.000; tid_counts={1: 1260},1260
session_20260704_145249,leanback_4m,right_person,SITTING,SITTING_LEAN_BACK,4.0,RIGHT,610.812,680.163,MEDIUM,,LOW,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; two-person assignment has fewer than two tids,two-person assignment has fewer than two tids,1260
session_20260704_145249,leanback_5m,left_person,SITTING,SITTING_LEAN_BACK,5.0,LEFT,686.163,755.515,MEDIUM,6,LOW,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=0.763; mean_x_right=0.849; separation=0.086,left/right inferred from verified lateral ordering within this segment; mean_x_left=0.763; mean_x_right=0.849; separation=0.086,1070
session_20260704_145249,leanback_5m,right_person,SITTING,SITTING_LEAN_BACK,5.0,RIGHT,686.163,755.515,MEDIUM,1,LOW,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=0.763; mean_x_right=0.849; separation=0.086,left/right inferred from verified lateral ordering within this segment; mean_x_left=0.763; mean_x_right=0.849; separation=0.086,1070
session_20260704_150636,upright_1m,left_person,SITTING,SITTING_UPRIGHT,1.0,LEFT,8.000,69.783,MEDIUM,1,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.340; mean_x_right=0.951; separation=2.291,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.340; mean_x_right=0.951; separation=2.291,2246
session_20260704_150636,upright_1m,right_person,SITTING,SITTING_UPRIGHT,1.0,RIGHT,8.000,69.783,MEDIUM,0,HIGH,simultaneous two-person right slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.340; mean_x_right=0.951; separation=2.291,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.340; mean_x_right=0.951; separation=2.291,2246
session_20260704_150636,upright_2m,left_person,SITTING,SITTING_UPRIGHT,2.0,LEFT,75.783,137.566,MEDIUM,1,HIGH,simultaneous two-person left slot; protocol_order_time_fallback; start/end inferred from protocol order; no manual segment timing file; left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.392; mean_x_right=0.923; separation=2.315,left/right inferred from verified lateral ordering within this segment; mean_x_left=-1.392; mean_x_right=0.923; separation=2.315,2244
