segment_id,expected_pose,expected_subpose,expected_distance_m,start_time_s,end_time_s,duration_s,tid_before,tid_after,range_before,range_after,last_display_pose_before,first_display_pose_after,quality_before,quality_after,geom_pts_before,geom_pts_after,reason_hypothesis
standing_1m,STANDING,STANDING,1.0,25.506,25.906,0.4,NA,1,NA,1.0335518112725877,NA,SITTING,NA,OK,NA,26,RENDER_NOT_CONFIRMED
standing_1m,STANDING,STANDING,1.0,26.256,26.556,0.3,1,1,1.015303821738856,1.012707769108631,SITTING,STANDING,LOW_POINTS,NO_POINTS,4,0,RENDER_NOT_CONFIRMED
standing_2m,STANDING,STANDING,2.0,88.768,88.918,0.15,NA,1,NA,2.0069953268281444,NA,SITTING,NA,LOW_POINTS,NA,1,RENDER_NOT_CONFIRMED
standing_2m,STANDING,STANDING,2.0,89.318,89.718,0.4,1,1,1.9977347913338763,2.0005162658796194,SITTING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
standing_3m,STANDING,STANDING,3.0,170.51,170.81,0.3,1,1,3.044775088696504,3.04876323490875,SITTING,SITTING,LOW_POINTS,LOW_POINTS,3,3,RENDER_NOT_CONFIRMED
standing_3m,STANDING,STANDING,3.0,172.11,172.36,0.25,1,1,3.0885325695495607,3.088460517334596,SITTING,SITTING,NO_POINTS,LOW_POINTS,0,4,RENDER_NOT_CONFIRMED
standing_3m,STANDING,STANDING,3.0,174.51,174.81,0.3,1,1,3.0382982381389634,3.038591453045103,SITTING,STANDING,LOW_POINTS,LOW_POINTS,2,4,RENDER_NOT_CONFIRMED
standing_3m,STANDING,STANDING,3.0,181.36,181.66,0.3,1,1,3.090461343435288,3.0932249002499894,SITTING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
standing_3m,STANDING,STANDING,3.0,191.71,192.01,0.3,1,1,3.088686961377636,3.08864887842361,SITTING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
leanback_3m,SITTING,SITTING_LEAN_BACK,3.0,556.368,556.668,0.3,6,6,3.291140866228596,3.291140866228596,SITTING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
upright_1m,SITTING,SITTING_UPRIGHT,1.0,796.229,796.579,0.35,10,10,1.0704912381861869,1.0704912381861869,SITTING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
upright_3m,SITTING,SITTING_UPRIGHT,3.0,940.895,941.195,0.3,10,10,3.134259330638024,3.134259330638024,SITTING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
upright_3m,SITTING,SITTING_UPRIGHT,3.0,943.945,944.245,0.3,10,10,3.1197138119603625,3.1197138119603625,SITTING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
upright_3m,SITTING,SITTING_UPRIGHT,3.0,949.745,949.895,0.15,10,10,3.039523919893202,3.0381111209345657,SITTING,SITTING,NO_POINTS,LOW_POINTS,0,3,RENDER_NOT_CONFIRMED
upright_3m,SITTING,SITTING_UPRIGHT,3.0,950.545,950.895,0.35,10,10,3.0370941235272517,3.0370941235272517,SITTING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
upright_3m,SITTING,SITTING_UPRIGHT,3.0,967.595,967.895,0.3,10,10,3.102164189614974,3.10250843462504,SITTING,SITTING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
upright_3m,SITTING,SITTING_UPRIGHT,3.0,968.445,968.695,0.25,10,10,3.10250843462504,3.101811862289092,SITTING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
upright_5m,SITTING,SITTING_UPRIGHT,5.0,1155.993,1156.693,0.7,NA,11,NA,2.5268066486195764,NA,MOVING,NA,OK,NA,7,RENDER_NOT_CONFIRMED
upright_5m,SITTING,SITTING_UPRIGHT,5.0,1157.543,1157.993,0.45,11,11,1.931972623028048,1.6066036158218624,MOVING,MOVING,LOW_CONF,OK,29,51,RENDER_NOT_CONFIRMED
upright_5m,SITTING,SITTING_UPRIGHT,5.0,1159.243,1159.543,0.3,11,11,1.0141625604290183,0.954002528225356,MOVING,SITTING,LOW_CONF,LOW_POINTS,8,4,RENDER_NOT_CONFIRMED
upright_5m,SITTING,SITTING_UPRIGHT,5.0,1159.693,1159.943,0.25,11,11,0.8754830035409814,0.8360969741635269,MOVING,SITTING,OK,OK,15,8,RENDER_NOT_CONFIRMED
upright_5m,SITTING,SITTING_UPRIGHT,5.0,1161.393,1161.643,0.25,11,11,1.0702409918655171,1.0031939609450478,MOVING,SITTING,OK,NO_POINTS,7,0,RENDER_NOT_CONFIRMED
upright_5m,SITTING,SITTING_UPRIGHT,5.0,1162.293,1162.693,0.4,11,11,0.9930992421566632,0.9836471265745252,SITTING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
upright_5m,SITTING,SITTING_UPRIGHT,5.0,1167.193,1167.343,0.15,11,11,0.9272478193873834,0.9272478193873834,STANDING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
upright_5m,SITTING,SITTING_UPRIGHT,5.0,1168.143,1168.393,0.25,11,11,0.9272478193873834,0.9272478193873834,STANDING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
upright_5m,SITTING,SITTING_UPRIGHT,5.0,1183.793,1184.093,0.3,11,11,1.040212650340829,1.0717930987358826,MOVING,SITTING,OK,OK,39,6,RENDER_NOT_CONFIRMED
leanforward_1m,SITTING,SITTING_LEAN_FORWARD,1.0,1232.896,1233.196,0.3,11,11,1.0081708701069307,0.8785530412417815,MOVING,SITTING,OK,OK,23,8,RENDER_NOT_CONFIRMED
leanforward_2m,SITTING,SITTING_LEAN_FORWARD,2.0,1255.9,1256.25,0.35,11,11,1.7400947126530533,1.7400947126530533,SITTING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
leanforward_3m,SITTING,SITTING_LEAN_FORWARD,3.0,1319.534,1319.834,0.3,12,12,2.790504264040376,2.790504264040376,SITTING,STANDING,NO_POINTS,NO_POINTS,0,0,RENDER_NOT_CONFIRMED
leanforward_4m,SITTING,SITTING_LEAN_FORWARD,4.0,1403.47,1404.02,0.55,NA,13,NA,3.8188489798722887,NA,MOVING,NA,LOW_POINTS,NA,3,RENDER_NOT_CONFIRMED
leanforward_4m,SITTING,SITTING_LEAN_FORWARD,4.0,1404.22,1404.62,0.4,13,13,3.779367691040127,3.761226684414378,MOVING,SITTING,LOW_POINTS,LOW_POINTS,1,3,RENDER_NOT_CONFIRMED
leanforward_5m,SITTING,SITTING_LEAN_FORWARD,5.0,1480.633,1482.183,1.55,NA,14,NA,4.8290722138491065,NA,STANDING,NA,NO_POINTS,NA,0,RENDER_NOT_CONFIRMED
